bucket_num,bucket_size
0, 10
1, 10
2, 8
3, 7
4, 8
5, 8
6, 12
7, 6
8, 15
9, 12
10, 18
11, 12
12, 14
13, 9
14, 8
15, 9
16, 12
17, 13
18, 12
19, 10
20, 10
21, 13
22, 20
23, 14
24, 15
25, 12
26, 12
27, 16
28, 9
29, 15
30, 17
31, 15
32, 9
33, 9
34, 10
35, 17
36, 8
37, 12
38, 11
39, 9
40, 8
41, 10
42, 14
43, 13
44, 17
45, 12
46, 12
47, 18
48, 7
49, 13
50, 8
51, 14
52, 12
53, 19
54, 13
55, 12
56, 16
57, 9
58, 13
59, 15
60, 12
61, 6
62, 6
63, 13
64, 15
65, 4
66, 12
67, 15
68, 16
69, 14
70, 8
71, 16
72, 16
73, 12
74, 20
75, 17
76, 9
77, 10
78, 12
79, 7
80, 17
81, 17
82, 18
83, 9
84, 16
85, 14
86, 10
87, 11
88, 12
89, 16
90, 10
91, 14
92, 12
93, 9
94, 15
95, 14
96, 13
97, 8
98, 13
99, 14
100, 14
101, 20
102, 7
103, 19
104, 18
105, 14
106, 16
107, 10
108, 12
109, 9
110, 6
111, 19
112, 11
113, 14
114, 11
115, 11
116, 8
117, 16
118, 7
119, 13
120, 13
121, 8
122, 14
123, 12
124, 10
125, 12
126, 10
127, 14
128, 12
129, 11
130, 12
131, 19
132, 12
133, 9
134, 7
135, 17
136, 16
137, 8
138, 10
139, 10
140, 8
141, 6
142, 10
143, 13
144, 13
145, 16
146, 9
147, 11
148, 9
149, 15
150, 13
151, 13
152, 11
153, 9
154, 9
155, 9
156, 4
157, 15
158, 13
159, 10
160, 4
161, 17
162, 14
163, 16
164, 5
165, 15
166, 7
167, 13
168, 15
169, 14
170, 12
171, 8
172, 17
173, 16
174, 11
175, 11
176, 17
177, 12
178, 7
179, 10
180, 13
181, 10
182, 8
183, 11
184, 13
185, 13
186, 9
187, 17
188, 15
189, 11
190, 13
191, 15
192, 12
193, 8
194, 12
195, 10
196, 11
197, 8
198, 12
199, 12
200, 17
201, 13
202, 14
203, 13
204, 9
205, 13
206, 20
207, 7
208, 10
209, 18
210, 13
211, 17
212, 17
213, 20
214, 12
215, 11
216, 20
217, 13
218, 15
219, 10
220, 14
221, 10
222, 18
223, 15
224, 22
225, 7
226, 14
227, 19
228, 16
229, 11
230, 10
231, 18
232, 12
233, 13
234, 9
235, 12
236, 13
237, 10
238, 10
239, 15
240, 12
241, 8
242, 11
243, 4
244, 13
245, 11
246, 16
247, 14
248, 15
