bucket_num,bucket_size
0, 25
1, 10
2, 17
3, 12
4, 14
5, 19
6, 25
7, 26
8, 33
9, 26
10, 23
11, 22
12, 19
13, 23
14, 12
15, 20
16, 25
17, 20
18, 11
19, 16
20, 16
21, 12
22, 24
23, 21
24, 21
25, 14
26, 29
27, 13
28, 18
29, 18
30, 21
31, 21
32, 10
33, 19
34, 18
35, 26
36, 20
37, 19
38, 13
39, 20
40, 24
41, 24
42, 15
43, 14
44, 20
45, 23
46, 19
47, 23
48, 16
49, 24
50, 20
51, 23
52, 17
53, 16
54, 20
55, 17
56, 21
57, 24
58, 20
59, 23
60, 18
61, 23
62, 13
63, 20
64, 22
65, 29
66, 15
67, 15
68, 19
69, 26
70, 18
71, 22
72, 21
73, 19
74, 25
75, 22
76, 24
77, 25
78, 12
79, 13
80, 22
81, 18
82, 18
83, 21
84, 26
85, 18
86, 16
87, 18
88, 31
89, 23
90, 26
91, 18
92, 19
93, 17
94, 20
95, 18
96, 16
97, 26
98, 18
99, 22
100, 20
101, 19
102, 18
103, 14
104, 12
105, 13
106, 20
107, 12
108, 16
109, 21
110, 32
111, 16
112, 20
113, 34
114, 17
115, 23
116, 24
117, 16
118, 28
119, 20
120, 22
121, 27
122, 21
123, 28
124, 24
125, 25
126, 25
127, 14
128, 25
129, 24
130, 28
131, 20
132, 15
133, 23
134, 23
135, 15
136, 20
137, 11
138, 18
139, 29
140, 20
141, 23
142, 21
143, 18
144, 23
145, 20
146, 17
147, 22
148, 25
149, 29
150, 17
151, 25
152, 21
153, 20
154, 11
155, 20
156, 23
157, 14
158, 14
159, 25
160, 17
161, 21
162, 20
163, 17
164, 12
165, 18
166, 15
167, 30
168, 20
169, 25
170, 19
171, 24
172, 16
173, 25
174, 22
175, 21
176, 17
177, 20
178, 17
179, 20
180, 15
181, 18
182, 24
183, 24
184, 18
185, 20
186, 22
187, 20
188, 23
189, 25
190, 18
191, 25
192, 17
193, 22
194, 29
195, 15
196, 20
197, 23
198, 19
199, 20
200, 24
201, 19
202, 16
203, 17
204, 20
205, 20
206, 10
207, 16
208, 22
209, 18
210, 19
211, 15
212, 19
213, 20
214, 28
215, 28
216, 22
217, 19
218, 19
219, 21
220, 19
221, 25
222, 15
223, 20
224, 19
225, 15
226, 14
227, 20
228, 17
229, 20
230, 22
231, 17
232, 23
233, 17
234, 15
235, 37
236, 14
237, 20
238, 23
239, 16
240, 16
241, 26
242, 19
243, 25
244, 18
245, 19
246, 22
247, 23
248, 22
249, 24
250, 19
251, 18
252, 16
253, 25
254, 19
255, 19
256, 13
257, 10
258, 15
259, 19
260, 25
261, 19
262, 31
263, 24
264, 19
265, 17
266, 20
267, 19
268, 14
269, 26
270, 18
271, 16
272, 20
273, 23
274, 21
275, 21
276, 20
277, 17
278, 24
279, 25
280, 17
281, 19
282, 19
283, 16
284, 15
285, 12
286, 22
287, 16
288, 16
289, 25
290, 27
291, 20
292, 18
293, 19
294, 25
295, 20
296, 20
297, 21
298, 17
299, 19
300, 22
301, 25
302, 19
303, 19
304, 22
305, 15
306, 16
307, 23
308, 24
309, 21
310, 26
311, 15
312, 25
313, 18
314, 27
315, 21
316, 18
317, 23
318, 25
319, 18
320, 18
321, 13
322, 20
323, 18
324, 20
325, 16
326, 13
327, 12
328, 25
329, 18
330, 16
331, 15
332, 13
333, 17
334, 16
335, 25
336, 17
337, 23
338, 15
339, 18
340, 11
341, 17
342, 23
343, 21
344, 22
345, 22
346, 17
347, 23
348, 19
349, 24
350, 19
351, 18
352, 26
353, 25
354, 15
355, 25
356, 15
357, 23
358, 24
359, 22
360, 12
361, 18
362, 18
363, 21
364, 16
365, 19
366, 20
367, 26
368, 11
369, 26
370, 24
371, 17
372, 19
373, 28
374, 22
375, 18
376, 27
377, 23
378, 17
379, 19
380, 21
381, 16
382, 19
383, 17
384, 20
385, 13
386, 23
387, 9
388, 16
389, 12
390, 22
391, 15
392, 26
393, 32
394, 15
395, 27
396, 24
397, 25
398, 15
399, 21
400, 17
401, 26
402, 13
403, 23
404, 16
405, 16
406, 22
407, 19
408, 26
409, 17
410, 16
411, 19
412, 19
413, 25
414, 14
415, 20
416, 18
417, 17
418, 20
419, 24
420, 24
421, 20
422, 23
423, 16
424, 21
425, 23
426, 27
427, 21
428, 25
429, 22
430, 19
431, 21
432, 22
433, 19
434, 23
435, 15
436, 19
437, 22
438, 22
439, 25
440, 23
441, 18
442, 25
443, 17
444, 29
445, 16
446, 24
447, 15
448, 25
449, 14
450, 19
451, 18
452, 9
453, 21
454, 20
455, 17
456, 21
457, 16
458, 16
459, 18
460, 19
461, 24
462, 30
463, 25
464, 20
465, 28
466, 18
467, 13
468, 11
469, 23
470, 14
471, 12
472, 24
473, 24
474, 21
475, 23
476, 14
477, 18
478, 20
479, 23
480, 21
481, 17
482, 21
483, 20
484, 16
485, 22
486, 25
487, 19
488, 21
489, 18
490, 23
491, 16
492, 22
493, 21
494, 26
495, 21
496, 20
497, 23
498, 20
499, 29
500, 19
501, 13
502, 23
503, 21
504, 22
505, 22
506, 24
507, 27
508, 21
509, 22
510, 20
511, 19
512, 17
513, 19
514, 19
515, 22
516, 19
517, 22
518, 11
519, 20
520, 20
521, 11
522, 18
523, 19
524, 18
525, 17
526, 25
527, 24
528, 22
529, 23
530, 17
531, 15
532, 27
533, 20
534, 14
535, 21
536, 11
537, 20
538, 23
539, 21
540, 15
541, 22
542, 20
543, 14
544, 24
545, 19
546, 23
547, 20
548, 24
549, 24
550, 13
551, 20
552, 17
553, 24
554, 22
555, 16
556, 18
557, 20
558, 17
559, 28
560, 21
561, 17
562, 21
563, 21
564, 14
565, 29
566, 26
567, 24
568, 15
569, 18
570, 17
571, 27
572, 22
573, 21
574, 19
575, 18
576, 17
577, 28
578, 28
579, 16
580, 24
581, 22
582, 21
583, 14
584, 18
585, 20
586, 19
587, 21
588, 22
589, 24
590, 24
591, 19
592, 18
593, 21
594, 23
595, 25
596, 21
597, 17
598, 29
599, 15
600, 15
601, 23
602, 19
603, 19
604, 19
605, 29
606, 18
607, 29
608, 23
609, 15
610, 22
611, 17
612, 22
613, 22
614, 18
615, 18
616, 22
617, 20
618, 18
619, 20
620, 13
621, 20
622, 16
623, 18
624, 22
625, 22
626, 26
627, 24
628, 20
629, 21
630, 19
631, 19
632, 16
633, 25
634, 18
635, 20
636, 28
637, 25
638, 22
639, 15
640, 21
641, 16
642, 16
643, 22
644, 21
645, 17
646, 21
647, 24
648, 14
649, 17
650, 28
651, 23
652, 22
653, 18
654, 17
655, 12
656, 30
657, 28
658, 24
659, 23
660, 16
661, 26
662, 20
663, 25
664, 23
665, 19
666, 15
667, 15
668, 18
669, 13
670, 32
671, 28
672, 20
673, 21
674, 15
675, 13
676, 22
677, 20
678, 17
679, 18
680, 22
681, 22
682, 29
683, 26
684, 22
685, 10
686, 17
687, 21
688, 19
689, 21
690, 25
691, 24
692, 25
693, 18
694, 24
695, 14
696, 20
697, 28
698, 22
699, 17
700, 16
701, 26
702, 11
703, 21
704, 13
705, 22
706, 18
707, 9
708, 22
709, 25
710, 14
711, 23
712, 19
713, 24
714, 20
715, 19
716, 20
717, 26
718, 17
719, 19
720, 19
721, 24
722, 26
723, 16
724, 24
725, 21
726, 22
727, 19
728, 16
729, 24
730, 23
731, 18
732, 23
733, 21
734, 19
735, 15
736, 20
737, 17
738, 15
739, 24
740, 17
741, 19
742, 17
743, 18
744, 15
745, 12
746, 23
747, 24
748, 21
749, 22
750, 19
751, 23
752, 18
753, 30
754, 17
755, 18
756, 16
757, 20
758, 19
759, 25
760, 10
761, 22
762, 18
763, 24
764, 22
765, 15
766, 24
767, 35
768, 12
769, 17
770, 16
771, 20
772, 24
773, 19
774, 24
775, 15
776, 18
777, 23
778, 23
779, 11
780, 19
781, 13
782, 16
783, 15
784, 17
785, 17
786, 21
787, 26
788, 23
789, 21
790, 27
791, 13
792, 27
793, 18
794, 17
795, 17
796, 22
797, 23
798, 27
799, 15
800, 23
801, 17
802, 17
803, 20
804, 20
805, 23
806, 27
807, 19
808, 22
809, 17
810, 19
811, 27
812, 25
813, 13
814, 19
815, 11
816, 21
817, 19
818, 24
819, 21
820, 23
821, 14
822, 17
823, 22
824, 17
825, 19
826, 24
827, 17
828, 19
829, 24
830, 19
831, 19
832, 25
833, 17
834, 20
835, 24
836, 20
837, 21
838, 20
839, 15
840, 18
841, 14
842, 25
843, 18
844, 21
845, 17
846, 15
847, 22
848, 22
849, 18
850, 21
851, 16
852, 20
853, 24
854, 18
855, 24
856, 14
857, 33
858, 27
859, 24
860, 22
861, 19
862, 22
863, 14
864, 19
865, 19
866, 19
867, 26
868, 22
869, 29
870, 25
871, 20
872, 24
873, 18
874, 24
875, 21
876, 22
877, 21
878, 16
879, 19
880, 15
881, 16
882, 23
883, 20
884, 24
885, 15
886, 29
887, 22
888, 18
889, 15
890, 16
891, 23
