bucket_num,bucket_size
0, 23
1, 30
2, 18
3, 23
4, 22
5, 10
6, 15
7, 15
8, 16
9, 21
10, 16
11, 15
12, 20
13, 23
14, 21
15, 21
16, 15
17, 20
18, 15
19, 17
20, 23
21, 21
22, 19
23, 16
24, 10
25, 20
26, 17
27, 18
28, 10
29, 25
30, 20
31, 22
32, 12
33, 25
34, 20
35, 26
36, 37
37, 21
38, 16
39, 21
40, 21
41, 18
42, 24
43, 26
44, 26
45, 18
46, 16
47, 20
48, 15
49, 18
50, 22
51, 22
52, 23
53, 27
54, 20
55, 17
56, 28
57, 13
58, 20
59, 21
60, 22
61, 27
62, 19
63, 15
64, 22
65, 24
66, 20
67, 17
68, 22
69, 24
70, 14
71, 27
72, 27
73, 17
74, 20
75, 18
76, 25
77, 14
78, 17
79, 13
80, 28
81, 18
82, 26
83, 19
84, 26
85, 17
86, 17
87, 18
88, 16
89, 20
90, 14
91, 24
92, 18
93, 23
94, 21
95, 20
96, 18
97, 25
98, 20
99, 14
100, 21
101, 16
102, 21
103, 24
104, 23
105, 18
106, 16
107, 19
108, 15
109, 13
110, 28
111, 25
112, 14
113, 24
114, 13
115, 20
116, 18
117, 22
118, 20
119, 27
120, 16
121, 21
122, 13
123, 19
124, 20
125, 27
126, 18
127, 28
128, 31
129, 22
130, 27
131, 22
132, 23
133, 17
134, 25
135, 27
136, 14
137, 18
138, 16
139, 22
140, 18
141, 17
142, 18
143, 21
144, 14
145, 19
146, 24
147, 28
148, 19
149, 14
150, 23
151, 27
152, 23
153, 24
154, 24
155, 29
156, 20
157, 29
158, 20
159, 13
160, 22
161, 19
162, 15
163, 20
164, 19
165, 24
166, 20
167, 21
168, 15
169, 19
170, 17
171, 19
172, 18
173, 18
174, 14
175, 21
176, 13
177, 18
178, 11
179, 15
180, 20
181, 26
182, 18
183, 22
184, 24
185, 24
186, 26
187, 18
188, 19
189, 14
190, 11
191, 13
192, 20
193, 20
194, 24
195, 16
196, 22
197, 23
198, 17
199, 29
200, 21
201, 17
202, 21
203, 15
204, 23
205, 20
206, 18
207, 19
208, 22
209, 25
210, 20
211, 24
212, 19
213, 20
214, 19
215, 19
216, 17
217, 22
218, 16
219, 24
220, 27
221, 19
222, 13
223, 22
224, 17
225, 17
226, 21
227, 30
228, 20
229, 21
230, 18
231, 16
232, 15
233, 20
